,Date,Price,Open,High,Low,Vol.,Change
44,02/27/2023,3988.0,3976.5,4024.75,3973.0,1.62M,+0.31%
45,02/24/2023,3975.75,4015.25,4023.25,3947.5,2.06M,-1.07%
46,02/23/2023,4018.75,4010.0,4034.25,3974.25,1.96M,+0.49%
47,02/22/2023,3999.0,4007.5,4025.0,3983.75,1.93M,-0.17%
48,02/21/2023,4005.75,4083.0,4089.25,4002.0,1.88M,-1.74%
49,02/20/2023,4076.75,4079.0,4089.25,4073.25,121.99K,-0.06%
50,02/19/2023,4079.0,4082.75,4085.75,4076.25,8.42K,-0.21%
51,02/17/2023,4087.5,4095.5,4096.0,4055.75,2.01M,-0.30%
52,02/16/2023,4099.75,4159.0,4168.5,4095.0,2.04M,-1.41%
53,02/15/2023,4158.25,4141.25,4161.75,4113.0,1.61M,+0.31%
54,02/14/2023,4145.5,4149.75,4186.5,4103.75,2.38M,-0.04%
55,02/13/2023,4147.25,4105.0,4150.75,4078.75,1.38M,+1.16%
56,02/10/2023,4099.75,4098.0,4104.25,4060.75,1.74M,+0.20%
57,02/09/2023,4091.75,4132.25,4170.25,4078.25,1.83M,-0.94%
58,02/08/2023,4130.5,4167.25,4179.25,4121.25,1.80M,-1.08%
59,02/07/2023,4175.75,4123.5,4188.25,4098.25,2.18M,+1.27%
60,02/06/2023,4123.5,4134.25,4143.0,4104.0,1.56M,-0.58%
61,02/03/2023,4147.75,4176.0,4194.0,4132.5,2.35M,-1.04%
62,02/02/2023,4191.5,4145.5,4208.5,4136.75,2.29M,+1.43%
63,02/01/2023,4132.25,4085.75,4163.25,4048.5,2.00M,+1.03%
64,01/31/2023,4090.0,4039.25,4091.25,4007.5,1.79M,+1.43%
65,01/30/2023,4032.5,4077.0,4086.0,4029.5,1.79M,-1.27%
66,01/27/2023,4084.25,4065.0,4109.25,4057.25,1.59M,+0.21%
67,01/26/2023,4075.5,4031.0,4077.0,4027.25,1.61M,+1.08%
68,01/25/2023,4032.0,4039.0,4040.5,3963.25,1.76M,-0.02%
69,01/24/2023,4032.75,4036.5,4047.5,4005.25,1.47M,-0.09%
70,01/23/2023,4036.5,3987.0,4056.75,3980.25,1.59M,+1.20%
71,01/20/2023,3988.5,3925.0,3990.5,3911.75,1.62M,+1.86%
72,01/19/2023,3915.5,3945.25,3948.75,3901.75,1.90M,-0.77%
73,01/18/2023,3945.75,4008.5,4033.5,3943.75,1.90M,-1.59%
74,01/17/2023,4009.5,4020.0,4035.25,3996.75,1.42M,-0.10%
75,01/16/2023,4013.5,4013.0,4027.5,3997.0,153.56K,0.00%
76,01/15/2023,4013.5,4020.25,4022.25,4011.75,7.84K,-0.12%
77,01/13/2023,4018.25,4003.0,4024.25,3961.75,1.46M,+0.37%
78,01/12/2023,4003.5,3991.75,4021.5,3954.0,2.10M,+0.34%
79,01/11/2023,3990.0,3941.0,3992.5,3934.5,1.40M,+1.25%
80,01/10/2023,3940.75,3914.5,3943.75,3891.5,1.52M,+0.69%
81,01/09/2023,3913.75,3918.5,3973.25,3909.75,1.70M,-0.04%
82,01/06/2023,3915.5,3833.0,3928.75,3819.0,2.03M,+2.26%
83,01/05/2023,3829.0,3871.0,3885.5,3822.5,1.68M,-1.17%
84,01/04/2023,3874.5,3842.75,3896.25,3836.5,1.91M,+0.74%
85,01/03/2023,3846.0,3895.0,3906.75,3814.5,1.78M,-0.66%
86,01/02/2023,3871.5,3868.0,3895.75,3868.0,25.04K,+0.09%
87,01/01/2023,3868.0,3868.0,3868.0,3868.0,+0.18%,
88,12/30/2022,3861.0,3869.75,3871.0,3821.5,1.40M,-0.28%
89,12/29/2022,3871.75,3811.0,3882.75,3806.25,1.15M,+1.69%
90,12/28/2022,3807.5,3858.0,3875.0,3804.5,1.28M,-1.23%
91,12/27/2022,3855.0,3878.0,3900.5,3837.25,1.01M,-0.99%
92,12/26/2022,3893.5,3868.25,3895.0,3868.25,12.55K,+0.65%
93,12/25/2022,3868.25,3868.25,3868.25,3868.25,-0.04%,
94,12/23/2022,3869.75,3850.0,3872.5,3821.25,1.37M,+0.53%
95,12/22/2022,3849.25,3915.0,3919.75,3788.5,1.84M,-1.45%
96,12/21/2022,3905.75,3857.25,3918.75,3855.5,1.52M,+1.47%
97,12/20/2022,3849.25,3842.75,3866.5,3803.5,1.54M,+0.10%
98,12/19/2022,3845.5,3874.0,3899.0,3827.25,1.41M,-0.67%
99,12/16/2022,3871.47,3890.5,3904.25,3842.0,40.98K,-0.66%
100,12/15/2022,3897.0,4004.25,4010.25,3878.5,560.67K,-2.53%
101,12/14/2022,3998.0,4021.75,4073.0,3965.25,712.44K,-0.60%
102,12/13/2022,4022.25,3989.25,4145.0,3985.0,1.42M,+0.76%
103,12/12/2022,3991.75,3933.0,3992.75,3924.5,1.62M,+1.41%
104,12/09/2022,3936.25,3964.75,3990.0,3930.0,1.74M,-0.74%
105,12/08/2022,3965.75,3935.75,3977.25,3916.0,1.71M,+0.74%
106,12/07/2022,3936.75,3944.5,3961.5,3914.0,1.76M,-0.21%
107,12/06/2022,3945.0,4005.75,4014.75,3921.5,1.87M,-1.46%
108,12/05/2022,4003.25,4074.0,4075.75,3987.25,1.50M,-1.77%
109,12/02/2022,4075.5,4077.5,4085.5,4006.75,1.85M,-0.15%
110,12/01/2022,4081.75,4094.5,4110.0,4054.5,1.83M,+0.01%
111,11/30/2022,4081.25,3962.25,4093.5,3942.75,2.48M,+3.01%
